type,ip,userAgent,time,path,headers,geo,abuse,sessionID,id
fakefile_access,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:14.817Z,/config,,,,,cc60dcc5-dd15-40f4-b3c3-a53901a24792
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:25.178Z,/shell,,,,,080bd245-8ea8-4037-90b1-db50380d9120
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:26.458Z,/shell?output=bash%3A%20vwvw%3A%20command%20not%20found,,,,,1486573b-4eb7-4e0b-852f-0cb0f7b4d51e
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:26.679Z,/shell?output=bash%3A%20vvrw%3A%20command%20not%20found,,,,,4b26e862-c85b-4a30-8414-abe1d60e138c
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:27.981Z,/shell?output=bash%3A%20%3A%20command%20not%20found,,,,,a2f65d20-cec3-4863-bde6-0bd7d127b0c4
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:29.747Z,/shell?output=bash%3A%20veve%3A%20command%20not%20found,,,,,6d42cf55-9a4e-41e6-b3aa-224c743f4fa1
shell_command,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T14:57:31.107Z,/shell?output=bash%3A%20ls%3A%20command%20not%20found,,,,,5917cfc7-f192-4fba-9d24-16d9c84a0550
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:40:18.357Z,/admin,[object Object],[object Object],,n92wkKKWFw70785fsz9HmUBJj3Po31zc,c24bfd86-d590-4fe4-aad8-ab1f8859ed84
login_attempt,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:40:22.509Z,/admin,[object Object],[object Object],,n92wkKKWFw70785fsz9HmUBJj3Po31zc,1b3b1066-2494-427e-b4fe-0157df94f3b2
visit,::1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/135.0.0.0 Safari/537.36",2025-04-21T15:44:44.241Z,/admin,[object Object],[object Object],,ClQcig486Rf4hqArtYMR_1KTBhp3rsWK,ece585ff-ab54-4550-8fe9-dd8a7461677a
